County,FIPS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Jackson County,12063,1874.4,1964.9,1443.7,2063.4,2337.2,2198.4,3306.7,2738.9,2919.6,2870.1,3225.7,2321.6,4189.2,4615.3,4204.9,3416.7,2944.4,2429.7
Jefferson County,12065,5279.1,4645.0,5735.5,6601.2,5768.8,4796.3,2829.9,3175.7,3622.9,3429.0,3614.4,4047.1,4323.8,5066.1,3743.6,4012.6,4144.7,3140.7
Lafayette County,12067,2786.5,2528.4,626.6,2834.1,2803.6,2883.2,1539.5,2822.7,3548.4,3201.5,1991.1,2248.6,1939.2,1553.9,2874.3,2262.7,1885.9,2862.4
Lake County,12069,4800.8,4984.2,4866.3,4948.2,4335.9,4057.9,4079.4,4845.3,4806.3,4894.3,4688.6,4359.0,5125.2,4345.5,4045.0,3784.2,3356.7,2927.6
Lee County,12071,4646.3,5183.0,4647.2,5168.4,5400.9,5161.9,4924.3,5132.5,5345.0,5643.3,5645.0,4832.2,4583.2,4302.5,4198.6,4027.6,3588.0,3178.7
Leon County,12073,16335.2,6762.8,5534.7,5401.1,4571.9,4291.6,4474.9,4485.2,4928.9,4663.7,5192.9,4355.5,4663.2,3802.0,4456.0,4173.1,3685.1,3194.7
Levy County,12075,5219.6,7668.8,4606.7,4917.7,6775.3,6627.8,10270.5,8279.6,9784.3,8540.4,7457.7,5905.5,5539.1,5183.1,4459.7,1461.4,1707.3,1995.2
Liberty County,12077,3788.3,4920.5,6096.0,6365.7,6022.1,4676.9,3875.4,6133.8,5365.4,1942.9,2304.5,1204.4,965.7,4289.1,3627.2,3300.7,2468.9,264.4
Madison County,12079,1841.6,3489.2,5247.4,4988.9,4600.7,5319.0,5872.4,5097.5,5844.4,5615.7,5349.3,5208.3,5996.8,5513.5,6418.1,6687.3,6087.1,5067.7
Manatee County,12081,4755.8,5331.7,4757.7,5792.0,5000.5,5861.5,5992.6,6435.9,6769.8,6513.1,6737.4,6325.5,6009.0,5440.2,5125.6,5116.6,4732.6,4124.1
Marion County,12083,6013.9,7019.5,6881.8,7360.8,7156.5,7084.5,6950.8,6928.9,6671.1,6828.7,6130.8,5687.0,5357.2,5133.8,4918.2,5089.4,5245.7,4223.6
Martin County,12085,6982.5,6831.3,6549.3,6684.1,6839.3,6587.8,6011.5,6477.4,6915.1,6729.0,6996.0,6802.6,6578.9,5485.1,6470.7,5105.5,4380.0,4394.2
Monroe County,12087,10028.5,6187.5,8727.3,7815.1,10451.1,10400.2,10150.7,8954.9,10318.0,9683.9,9844.8,8727.6,8677.7,11038.9,10680.8,10407.8,8010.1,8461.6
Nassau County,12089,3324.3,2969.6,3360.9,3481.0,3419.3,6780.6,2902.4,3452.0,3884.8,3428.3,4007.5,3419.3,3559.4,2951.8,3083.6,3051.1,2732.3,3113.6
Okaloosa County,12091,3627.7,5277.0,4953.1,5430.4,6245.7,6290.9,7485.8,7281.2,7685.6,7845.2,7521.4,6792.3,6111.7,5955.0,7606.8,6276.1,6370.8,6065.7
Okeechobee County,12093,6520.4,6643.2,5179.6,4786.0,4733.1,5975.4,5441.5,4951.7,5206.1,5285.7,5892.1,5359.8,5362.2,5673.4,5069.7,5867.4,5227.5,4811.2
Orange County,12095,6300.6,6290.1,5639.8,5267.3,4583.4,4515.5,4551.7,4810.9,5094.3,6156.6,6499.3,5461.8,5350.0,4658.9,4540.1,4475.6,4433.9,3912.9
Osceola County,12097,7257.0,7304.2,7364.9,7131.2,7395.2,7502.9,6652.8,7353.8,7826.8,8092.1,6987.0,5730.8,6085.6,5566.9,5471.3,5407.8,4621.8,4011.3
Palm Beach County,12099,3620.7,4057.2,3601.0,3836.2,3936.8,5974.8,5719.7,5927.1,6239.7,6312.0,6641.2,5774.4,5478.5,4716.5,4539.8,4422.4,4075.2,3526.5
Pasco County,12101,3858.0,4334.2,4324.4,4856.4,5417.4,5335.5,6302.1,5511.5,5344.1,5185.7,5552.3,5228.7,5348.0,5006.9,4926.6,4527.6,4169.1,3815.1
Pinellas County,12103,5172.2,4813.1,4699.2,4907.1,5045.0,5170.9,4952.5,4852.5,5028.8,5173.7,5187.9,5496.5,5490.6,4992.5,4857.0,4773.6,4651.4,4449.9
Polk County,12105,5062.1,4763.4,5527.1,5909.4,5753.6,5318.9,6059.0,5527.6,5356.7,5329.2,5074.7,4830.4,5422.5,5090.7,5218.1,4588.0,4745.5,4297.1
Putnam County,12107,6786.2,6156.4,5780.8,5892.4,7771.0,9128.7,7920.7,8108.3,8175.7,7679.2,7553.1,7406.7,7491.1,6253.7,5624.8,4582.3,3827.8,3370.2
St. Johns County,12109,2916.4,3182.3,3003.2,2956.4,1385.6,2611.4,2589.5,2549.0,3266.4,4330.4,3489.3,2668.2,2512.1,2382.1,2393.0,2386.1,2246.9,1812.1
St. Lucie County,12111,9006.0,6211.2,6031.8,6059.9,6871.6,7847.2,6009.7,6516.9,6469.7,6812.4,6678.6,5793.7,5081.3,4797.4,4832.8,4922.3,5037.5,4407.7
Santa Rosa County,12113,3895.6,7894.8,6269.6,5758.4,5621.2,5759.2,6158.3,6193.8,6888.3,6819.8,5791.8,5266.8,5133.3,4336.3,4675.3,3845.1,3910.3,3691.9
Sarasota County,12115,4909.8,4930.3,4915.8,4781.4,4417.0,4765.4,5056.8,5935.0,6002.6,5821.4,5464.2,4672.8,4563.1,4293.8,4074.9,4015.2,4055.5,3353.8
Seminole County,12117,3700.8,4672.6,4091.5,3728.7,3475.5,3743.2,4081.5,5157.3,5217.7,5289.0,5348.3,5074.3,4876.9,4590.8,4457.8,4082.8,3909.8,3696.1
Sumter County,12119,3619.5,3722.7,2586.9,2053.3,1864.8,1885.7,9021.9,4276.7,4044.8,3500.0,3825.5,3694.7,3247.9,3031.6,2825.4,2666.9,2516.1,2421.0
Suwannee County,12121,6768.2,5769.8,5295.0,3944.5,3988.6,3833.5,5568.4,4851.5,5147.0,4963.6,4488.5,4476.8,3837.6,3961.6,4233.3,3911.3,3978.0,3531.9
Taylor County,12123,5110.9,5837.9,4559.6,4548.9,4873.7,4349.5,4044.7,4744.3,7354.1,7390.3,6789.1,6816.6,7281.3,6595.6,8926.5,8271.8,6410.3,5857.9
Union County,12125,1716.3,3021.8,2834.4,3010.1,2921.6,2185.6,8262.7,3575.7,3886.1,3161.2,4425.9,3884.2,3570.8,4071.6,4197.3,3991.5,3419.2,2437.5
Volusia County,12127,8089.6,6623.3,7902.9,7246.7,7641.9,8070.8,8668.2,7696.1,7847.7,8020.9,7796.0,7124.4,8077.2,7712.4,8213.5,7473.9,7016.2,6592.8
Wakulla County,12129,3848.1,7279.2,5471.7,5027.9,5545.7,5794.4,4838.3,4864.7,5040.0,5102.5,5423.7,3758.9,3286.3,3478.3,2274.9,3414.4,2975.9,1838.1
Walton County,12131,5785.3,5083.3,5536.8,4412.1,7154.9,7230.3,10369.4,6981.8,6718.5,7782.0,5802.6,5523.4,5957.6,5816.1,6960.4,7243.1,6290.0,6085.3
Washington County,12133,2579.9,3759.9,3580.8,5028.7,5302.8,5517.3,8665.4,6225.9,7810.0,8377.3,6279.5,4575.1,4847.6,4635.1,4409.8,4940.9,4046.6,3551.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
